post,company,experience,level,year,month,day,salary_min,salary_max,salary_avg
Front Desk Officer,Autism Care Nepal Society,1.5,2,2026,1,1,,,
Territory Sales Officer,Apollo Paints,1.5,2,2026,1,26,,,
Project Officer,Sneha's Care,2.5,2,2026,1,10,,,
School Teachers,Ace School,2.5,2,2026,1,10,,,
Regional Sales Coordinator (Mobile Phone),ZTE Nepal,3.5,2,2026,1,10,,,
Area Sales Coordinator (Mobile Phone),ZTE Nepal,0.5,2,2026,1,10,,,
Full Stack Developer - Next.js / Node.js,Team Enoch,3.5,2,2026,1,10,,,
Assistant – Loan and Recovery,MAW Hire Purchase,1.5,2,2026,1,10,,,
Full Stack Developer,Audit Partnership,2.5,2,2025,12,31,,,
Grade Teacher - English (Grade 1),Rosebud School,2.5,2,2026,1,10,40000.0,50000.0,45000.0
Program Coordinator – MBA,KFA,3.5,2,2026,1,9,,,
Swimming Instructor,Swimming Everyday Nepal,3.5,2,2026,2,5,,,
Project Manager,Dreamline Construction,1.5,2,2026,1,2,65000.0,65000.0,65000.0
Architect,Dreamline Construction,1.5,2,2026,1,2,45000.0,45000.0,45000.0
Accountant,Dreamline Construction,1.5,2,2026,1,2,30000.0,30000.0,30000.0
Graphic Designer,Goyal Metal Industries,1.5,2,2026,1,8,,,
Nepali Teacher,EuroKids International,1.5,2,2026,1,8,,,
Admin Coordinator,EuroKids International,2.5,2,2026,1,8,,,
Customer Service Representative,Evolution Trading,0.5,2,2026,1,8,,,
Showroom Sales Executive,Evolution Trading,0.5,1,2026,1,8,,,
Sales Associates,ZenNepal,1.5,2,2026,1,8,35000.0,48000.0,41500.0
Admin and Document Controller,A Manpower Company,2.5,2,2026,1,24,,,
Clinical Nurse,Creator's IVF Nepal,1.5,2,2026,1,8,,,
General Operations Support (HR & Finance),Executive Search- Merojob,3.5,2,2026,1,8,,,
Electrical Engineer,Eco Sun Power Development,2.5,2,2026,1,8,,,
Manager,Hot Stone,3.5,2,2026,1,7,,,
Digital Marketing Manager,Hot Stone,2.5,2,2026,1,7,,,
App Developer,Hot Stone,5.5,3,2026,1,7,,,
Email Marketing Assistant,Hot Stone,2.5,2,2026,1,7,,,
QA Engineer (Automation and Manual),Hot Stone,5.5,3,2026,1,7,,,
Business Analyst,Nepal Digital Payments Company Limited,0.0,2,2026,1,7,,,
Jr. Laravel Developer,Nepal Digital Payments Company Limited,0.0,1,2026,1,7,,,
Jr. Flutter Developer,Nepal Digital Payments Company Limited,0.0,1,2026,1,7,,,
System Support Associate,Nepal Digital Payments Company Limited,0.0,1,2026,1,7,,,
Sr. Project Manager / Project Manager - High Rise Building,RV Group,15.5,4,2026,1,9,,,
Operations Incharge,Mero Storage,1.5,2,2026,1,7,28000.0,33000.0,30500.0
Sales and Marketing Executive,International Electronics Concern,0.0,1,2026,1,7,,,
Marketing Surveyor,Smart Kirana Pasal,0.0,1,2026,1,7,,,
UK Study Abroad Counselor,Elum Education,1.5,2,2026,1,7,40000.0,50000.0,45000.0
Recruitment Executive,Rojgari Services,1.0,1,2026,1,6,22000.0,22000.0,22000.0
Finance Officer,Alfa Health Care and Diagnostic Center,1.5,2,2026,1,6,,,
School Nurse,Prasadi Academy,1.5,2,2026,1,6,1100.0,1100.0,1100.0
Search Engine Optimization Specialist,The British College,2.5,2,2026,1,6,,,
Project Officer,SOS Children's Villages Nepal,3.5,2,2025,12,31,,,
Project Coordinator,SOS Children's Villages Nepal,5.5,3,2025,12,31,,,
Admin and Finance Officer,SOS Children's Villages Nepal,3.5,2,2025,12,31,,,
Monitoring and Evaluation Officer,SOS Children's Villages Nepal,3.5,2,2025,12,31,,,
Technical Officer (Civil Overseer),SOS Children's Villages Nepal,3.5,2,2025,12,31,,,
Partnership Advisor,GIZ,3.5,2,2026,1,5,,,
Software Developer,K.System,0.0,1,2026,1,6,50000.0,50000.0,50000.0
Senior Accounts Executive,Brilliant,3.5,3,2026,1,5,,,
UK Counselor,Real Dreams Education Consultancy Center,1.5,2,2026,1,5,,,
Australia Counselor,Real Dreams Education Consultancy Center,1.5,2,2026,1,5,,,
Digital Marketing Executive,Real Dreams Education Consultancy Center,1.5,2,2026,1,5,,,
Receptionist,Real Dreams Education Consultancy Center,1.0,1,2026,1,5,,,
Secondary Level Teacher,Chaitanya Pathshala,2.5,2,2025,12,24,100000.0,100000.0,100000.0
Executive chef,Hotel Black Diamond,5.5,3,2026,1,3,40000.0,40000.0,40000.0
Customer Service Representative,Foodmandu,0.0,1,2025,12,24,,,
Lead - Corporate and Project Sales,Brilliant,5.5,3,2026,1,3,,,
Graphic Designer and Social Media In-Charge,Brilliant,2.5,2,2026,1,3,,,
Technical Support and Customer Care Executive,Northwest Amusement,1.5,2,2026,1,3,,,
Sales Officer,Agro Thai Foods,0.0,2,2026,1,2,,,
