Post,Company,Experience,Level,Salary,Deadline
Front Desk Officer,Autism Care Nepal Society,More than 1 year,Mid Level,Not Disclosed,2026-01-01
Territory Sales Officer,Apollo Paints,More than 1 year,Mid Level,Not Disclosed,2026-01-26
Project Officer,Sneha's Care,More than 2 years,Mid Level,Not Disclosed,2026-01-10
School Teachers,Ace School,More than 2 years,Mid Level,Not Disclosed,2026-01-10
Regional Sales Coordinator (Mobile Phone),ZTE Nepal,More than 3 years,Mid Level,Not Disclosed,2026-01-10
Area Sales Coordinator (Mobile Phone),ZTE Nepal,Less than 2 years,Mid Level,Not Disclosed,2026-01-10
Full Stack Developer - Next.js / Node.js,Team Enoch,More than 3 years,Mid Level,Not Disclosed,2026-01-10
Assistant – Loan and Recovery,MAW Hire Purchase,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Grade Teacher - English (Grade 1),Rosebud School,More than 2 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-10
Program Coordinator – MBA,KFA,More than 3 years,Mid Level,Not Disclosed,2026-01-09
Swimming Instructor,Swimming Everyday Nepal,More than 3 years,Mid Level,Not Disclosed,2026-02-05
Project Manager,Dreamline Construction,More than 1 year,Mid Level,"NRs. 65,000 Monthly",2026-01-02
Architect,Dreamline Construction,More than 1 year,Mid Level,"NRs. 45,000 Monthly",2026-01-02
Accountant,Dreamline Construction,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2026-01-02
Graphic Designer,Goyal Metal Industries,More than 1 year,Mid Level,Not Disclosed,2026-01-08
Nepali Teacher,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2026-01-08
Admin Coordinator,EuroKids International,More than 2 years,Mid Level,Not Disclosed,2026-01-08
Customer Service Representative,Evolution Trading,Less than 1 year,Mid Level,Not Disclosed,2026-01-08
Showroom Sales Executive,Evolution Trading,Less than 1 year,Entry Level,Not Disclosed,2026-01-08
Sales Associates,ZenNepal,More than 1 year,Mid Level,"NRs. 35,000 - 48,000 Monthly",2026-01-08
Admin and Document Controller,A Manpower Company,More than 2 years,Mid Level,Not Disclosed,2026-01-24
Clinical Nurse,Creator's IVF Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-08
General Operations Support (HR & Finance),Executive Search- Merojob,More than 3 years,Mid Level,Not Disclosed,2026-01-08
Electrical Engineer,Eco Sun Power Development,More than 2 years,Mid Level,Not Disclosed,2026-01-08
Manager,Hot Stone,More than 3 years,Mid Level,Not Disclosed,2026-01-07
Digital Marketing Manager,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-07
App Developer,Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-07
Email Marketing Assistant,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-07
QA Engineer (Automation and Manual),Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-07
Business Analyst,Nepal Digital Payments Company Limited,Not Required,Mid Level,Not Disclosed,2026-01-07
Jr. Laravel Developer,Nepal Digital Payments Company Limited,Not Required,Entry Level,Not Disclosed,2026-01-07
